,fips,Sex ratio,Population under 5,Population 5 to 9,Population 10 to 14,Population 15 to 19,Population 20 to 24,Population 25 to 34,Population 35 to 44,Population 45 to 54,Population 55 to 59,Population 60 to 64,Population 65 to 74,Population 75 to 84,Population over 85,Population White (including Hispanic),Population Black,Population Native American,Population Asian,Population Mixed,Population Hispanic,Population White (not Hispanic),Total Housing Units,Poverty Rate,Disability Rate,Less than high school graduate,Some college or associate's degree,Bachelor's degree or higher,High school graduate (or equivalency),LFPR rate total,LFPR 16 to 19 years,LFPR 20 to 24 years,LFPR 25 to 29 years,LFPR 30 to 34 years,LFPR 35 to 44 years,LFPR 45 to 54 years,LFPR 55 to 59 years,LFPR 60 to 64 years,LFPR 65 to 74 years,LFPR 75 years and over,LFPR White,LFPR Black,LFPR Hispanic,Unemployment rate total,Unemployment rate 16 to 19,Unemployment rate 20 to 24,Unemployment rate 25 to 29,Unemployment rate 30 to 34,Unemployment rate 35 to 44,Unemployment rate 45 to 54,Unemployment rate 55 to 59,Unemployment rate 60 to 64,Unemployment rate 65 to 74,Unemployment rate 75 years and over,Unemployment rate White,Unemployment rate Hispanic,Unemployment rate Black,Unemployment rate Male,Unemployment rate Female,Total Population,STEM,Service,Office,Infrastructure,Supply Chain,Margin,Result
0,01001,94.7,5.8,6.9,6.5,6.9,6.4,12.7,13.2,14.0,7.7,4.9,8.7,4.7,1.6,76.8,19.0,0.3,1.0,2.2,2.8,74.6,23493,0.10147202693786544,0.11810342866243487,0.06673037107819717,0.20148795304074807,0.18599413009350899,0.20749436898505222,58.9,35,75.1,77.9,84.2,76.3,75.1,65.3,52.7,16.6,1.8,58.6,57.4,78.4,3.7,10.2,7.2,6,4.3,2.8,1.5,1.6,4.2,1.4,0,3.5,0,5.1,3.9,3.0,18609,0.40405180289107423,0.12676661830297167,0.2312321994733731,0.07641463807834918,0.1615347412542318,-0.4441843716240547,R
1,01003,94.7,5.5,5.7,6.7,6.0,5.1,11.2,12.1,13.3,7.1,7.2,12.1,6.0,1.9,86.2,9.3,0.8,0.9,1.7,4.6,83.1,114164,0.0689158836195639,0.08108092421806531,0.05590346900990731,0.19871500954746746,0.20468725514663633,0.1708909615373454,57.7,42,75.1,79.3,79.1,82.6,80.2,67.3,46.3,22.5,5.4,57.1,59.9,69.2,4.3,11.8,12.1,6.6,2.4,2.3,3.4,1.7,3.9,2.6,2.4,3.9,2.7,8.6,3.7,4.3,68357,0.4105066050294776,0.1433796099887356,0.22473192211477977,0.09598139181064119,0.12540047105636584,-0.5376234283682382,R
2,01005,112.4,5.3,6.4,5.6,5.6,6.3,14.4,12.0,13.1,6.4,6.5,11.2,5.8,1.6,46.8,47.6,0.3,0.5,1.2,4.4,45.8,12013,0.15637720488466758,0.10442915293661563,0.15836402403566582,0.18147896879240163,0.07312463655747238,0.22930800542740842,44.9,24.3,56.5,68.5,48.2,53.0,59.2,50.3,44.9,26.0,6.0,46.4,42.9,43.1,9.2,19.5,14.6,17.3,15.0,7.9,6.7,2.7,1.2,3.2,4.5,4.7,0,14.8,9.9,8.8,6082,0.3030253206182177,0.10802367642222953,0.16885892798421573,0.15537652088128906,0.264715554094048,-0.07663053812511884,R
3,01007,117.5,5.8,5.4,5.0,6.2,5.6,14.6,12.9,15.6,6.3,6.5,9.3,4.6,2.0,76.8,22.3,0.1,0.1,0.6,2.6,74.5,9185,0.11577979666882976,0.1126973826519576,0.1344905905256327,0.17969932943975772,0.07149037421587713,0.29483019684187756,48.9,31.5,63.5,70.8,49.5,63.2,62.1,58.4,44.2,16.3,7.6,52.7,35.5,66.7,7.3,15.2,8.4,7.5,26.4,7.0,3,0.5,1.4,8.5,0,7,3.1,10.3,6.0,8.2,6079,0.23178154301694356,0.14015463069583814,0.17815430169435761,0.15989471952623788,0.2900148050666228,-0.5772798332464826,R
4,01009,97.6,5.9,6.2,7.0,6.3,5.6,11.9,12.6,13.3,6.7,6.6,10.6,5.5,1.8,95.5,1.6,0.1,0.4,1.6,9.3,86.9,24323,0.08684950007624109,0.08530289498333588,0.10871980308014029,0.23937525867514758,0.08774261005946805,0.20600344174091098,49.5,24.1,59,77.9,63.3,73.7,66.3,62.4,38.3,13.8,2.6,49.6,42.6,49.9,3.4,15.8,6.5,4.1,1.3,2.8,3.8,1.1,1.4,0,0,3.4,1.5,1.7,2.9,3.4,17356,0.301509564415764,0.11546439271721595,0.18892601982023507,0.17803641392025812,0.21606360912652686,-0.8000217485863419,R
5,01011,119.1,5.3,6.2,5.4,7.9,5.8,12.4,13.5,13.3,6.6,7.5,10.0,4.4,1.7,21.9,74.8,0.0,0.5,0.8,2.6,21.4,4557,0.1453134328358209,0.06686567164179104,0.15928358208955223,0.14770149253731343,0.060417910447761194,0.28465671641791046,53.6,11.6,51.9,60.5,88.3,63.5,75.3,75.0,55.7,24.8,12.6,55.6,53.7,32.8,3.9,0,6.1,0.7,22.0,0.0,2.1,1.6,0.0,2.8,0,0,0,5.3,4.7,3.2,3498,0.19153802172670098,0.15237278444825614,0.1509433962264151,0.1455117209834191,0.3596340766152087,0.4985909386516367,D
6,01013,84.5,5.8,6.5,6.1,6.4,5.5,11.8,12.8,11.2,7.1,7.1,11.5,5.5,2.6,51.8,45.4,0.1,0.3,2.1,1.4,51.6,10089,0.14773229041821737,0.09972875796379234,0.08257112218507538,0.15599571059105533,0.09960259887718413,0.2875165583801173,53.7,41.9,70.1,87.8,74.6,79.0,70.7,53.5,46.9,15.6,7.1,54.5,53.1,59.7,6.8,10.4,17.9,10.4,9.0,4.4,5.6,2.9,2.9,0,0,3.6,18.1,10.5,6.8,7.2,5670,0.281305114638448,0.12504409171075836,0.19594356261022927,0.12416225749559083,0.27354497354497354,-0.1573566610455312,R
7,01015,92.7,5.8,5.8,6.2,6.8,6.4,13.2,11.9,12.7,7.0,6.9,10.2,5.2,1.8,73.7,20.8,0.3,0.9,2.4,3.8,72.1,53631,0.12058867859526731,0.14124841203195315,0.09091789936050643,0.23041147212712357,0.1170682341795319,0.2007729905475529,56.7,36,76.8,81.3,85.1,75.6,73.1,58.0,47.9,18.5,6.1,56.4,56.2,69.3,8.1,29.4,10.6,12.3,11.1,6.5,4.1,3.2,3.2,5.5,3.9,6.2,12.1,12.7,7.0,7.5,34035,0.30944615836638756,0.1208755692669311,0.2188923167327751,0.11405905685323932,0.23672689878066697,-0.3900319714414609,R
8,01017,91.6,6.1,5.3,6.0,5.4,6.5,12.3,11.4,13.5,7.8,6.5,11.8,5.5,1.9,57.7,39.6,0.3,1.1,1.0,2.4,55.5,16988,0.11290734591103165,0.12195744991424297,0.0874721745794256,0.2194650220778747,0.08499069444951282,0.2400832025690618,56.6,34.9,78.5,91.7,83.7,74.5,75.2,62.3,42.8,16.8,5.6,53.9,58.8,75.7,3.9,6,10.2,3.8,10.4,0.4,3.4,1.1,1.1,1.2,0,4.6,0,3.2,3.9,4.1,10946,0.25379133930202813,0.12506851818015713,0.16855472318655215,0.10844143979535903,0.34414397953590353,-0.156241821512693,R
9,01019,97.3,4.6,5.6,5.7,6.2,5.0,9.6,11.1,14.2,7.8,7.7,13.6,6.9,2.0,92.9,4.6,1.1,0.2,0.9,1.6,91.7,16579,0.09742870500233754,0.10626460963066854,0.09995324918186069,0.1877045348293595,0.0868630201028518,0.2361851332398317,48.8,23.1,66.6,85.6,77.4,77.1,72.2,55.0,36.7,14.0,1.7,49.2,40.9,59.1,4.4,12.8,15,7,2.1,4.5,2.9,1.8,0.0,0,0,3.9,17.6,8.2,5.3,3.3,7883,0.2968413040720538,0.11886337688697196,0.1527337308131422,0.1491817835849296,0.28237980464290247,-0.7283147711568165,R
10,01021,95.0,6.3,7.3,6.0,6.6,5.6,13.1,13.3,12.7,6.7,6.4,9.4,5.2,1.4,83.6,9.2,0.8,0.4,2.5,7.8,80.1,19781,0.13963304332845206,0.14566284779050737,0.11603066586269274,0.1758692968099463,0.07698050363223935,0.29135440893559594,53.8,33,71.9,75.4,66.7,71.9,69.6,57.1,49.6,16.6,6.6,53.2,56.7,62.4,6.4,11.5,11.1,6.6,6.6,8.1,6.2,2.7,0.9,0,0,6,9.1,9.2,7.2,5.6,12953,0.24812784683084999,0.08824210607581255,0.20751949355361693,0.21439048868987878,0.24172006484984174,-0.6738477472812014,R
11,01023,90.6,5.3,4.9,6.2,6.5,5.0,9.9,11.0,13.5,7.9,7.4,12.8,7.4,2.3,56.8,42.6,0.1,0.1,0.4,0.4,56.4,7359,0.1486195601310248,0.16134768366869442,0.08900327562002808,0.2218062704726252,0.08123537669630324,0.20758072063640617,42.4,38.3,52.6,85.3,69.9,65.8,56.9,38.9,31.3,14.6,5.1,44.3,39.7,46.2,7.9,4,43.5,11.5,16.0,5.5,0.2,1.0,1.7,1.2,0,3.8,0,14.2,8.7,8.7,2992,0.3094919786096257,0.12299465240641712,0.16109625668449198,0.1467245989304813,0.25969251336898397,-0.15661843515541266,R
12,01025,89.6,5.7,5.5,6.5,6.6,6.2,10.8,11.8,13.3,7.6,6.6,10.7,6.3,2.4,53.0,45.8,0.1,0.4,0.7,0.3,52.7,12784,0.15807243707796195,0.11162267239615306,0.1053304685901371,0.17347043175772459,0.06880499283814201,0.2709228565582157,45.4,26.1,48.7,70.1,69.8,67.2,58.3,53.9,39.6,17.2,6.7,48.9,40.4,71.7,12.2,36.3,17,9.4,29.5,9.9,9.8,8.9,0.0,5.2,11.4,7.4,0,19.7,7.1,17.0,5862,0.22210849539406347,0.11361310133060389,0.1769020812009553,0.1885022176731491,0.29887410440122825,-0.11945184621240959,R
13,01027,93.3,5.1,5.1,7.3,6.4,5.2,11.3,11.6,13.1,8.4,6.4,11.5,6.5,2.1,83.2,15.6,0.3,0.2,0.7,3.1,80.4,6799,0.107739138455862,0.09685453371460197,0.1457430126372106,0.18457706853611291,0.06558435568674477,0.22774651784890693,53.9,37.6,79,90.3,73.3,75.9,77,68.3,31.9,15.3,1.6,53.1,54.5,72.5,5.4,6.6,9.1,26.9,2.0,2.5,0.5,2.1,0.0,0,0,5.5,0,6.4,5.6,5.6,3812,0.24580272822665267,0.09181532004197272,0.1592339979013641,0.11385099685204617,0.38929695697796435,-0.6253968253968254,R
14,01029,96.1,5.7,7.5,5.6,5.9,5.1,11.8,11.6,14.3,6.6,6.5,11.4,5.0,3.0,93.9,2.7,0.1,0.0,2.0,2.5,92.7,6844,0.10266287054094791,0.14662535588678613,0.11145536761011555,0.17752470272986098,0.10592865516663875,0.23999330095461396,51.0,50.2,70.9,75.9,76.2,75.2,66.7,56.8,37.2,9.4,4.5,51.4,34.2,55.6,5.9,18.8,10.2,8,6.6,6.2,2.7,4.3,0.0,0,0,5.3,32.8,13.7,7.0,3.2,4176,0.2885536398467433,0.0792624521072797,0.1977969348659004,0.15900383141762453,0.2753831417624521,-0.8037913380379134,R
15,01031,97.3,6.2,6.4,7.0,6.2,5.8,12.8,12.9,13.4,7.0,5.7,9.6,5.2,1.7,75.7,16.9,1.2,1.4,3.3,7.3,70.1,23188,0.09382897803950435,0.11277143908722856,0.08688504477978162,0.24953993375046007,0.15556373451110292,0.16420071156913263,59.7,31.8,72.7,83.8,81.1,80.1,76.2,64.7,52.5,24.0,6.2,59.3,57.6,71.8,5.7,16.1,10.3,11,8.0,2.9,3.8,3.5,4.1,2,1.4,5.2,1.7,8.2,5.7,5.5,15870,0.3620667926906112,0.12930056710775048,0.1686830497794581,0.13623188405797101,0.2037177063642092,-0.5307744107744108,R
